rank,title,title_jp,score,scored_by,members,year,genres,url
102,Natsume Yuujinchou Roku,夏目友人帳 陸,8.61,75973,204641,2017,Slice of Life|Supernatural,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
99,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,8.61,950784,1485085,2020,Comedy|Romance,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
101,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,無職転生 ～異世界行ったら本気だす～ 第2クール,8.61,694536,1103059,2021,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
106,Hajime no Ippo: Rising,はじめの一歩 Rising,8.61,162199,295620,2013,Sports,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
107,Bungou Stray Dogs 5th Season,文豪ストレイドッグス,8.6,118306,253364,2023,Action|Mystery,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season
109,Made in Abyss: Retsujitsu no Ougonkyou,メイドインアビス 烈日の黄金郷,8.6,256728,532127,2022,Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
110,Dungeon Meshi,ダンジョン飯,8.59,290260,565015,2024,Adventure|Comedy|Fantasy|Gourmet,https://myanimelist.net/anime/52701/Dungeon_Meshi
114,[Oshi no Ko] 3rd Season,【推しの子】 第3期,8.58,23357,213200,2026,Drama,https://myanimelist.net/anime/60058/Oshi_no_Ko_3rd_Season
115,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,呪術廻戦 「死滅回游 前編」,8.58,59391,374968,2026,Action|Supernatural,https://myanimelist.net/anime/57658/Jujutsu_Kaisen__Shimetsu_Kaiyuu_-_Zenpen
118,Natsume Yuujinchou Shichi,夏目友人帳 漆,8.58,17790,57179,2024,Slice of Life|Supernatural,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi
115,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,ジョジョの奇妙な冒険 黄金の風,8.58,772508,1151941,2018,Action|Adventure,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
123,Uma Musume: Cinderella Gray,ウマ娘 シンデレラグレイ,8.57,45543,92298,2025,Drama|Sports,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray
120,Ore dake Level Up na Ken Season 2: Arise from the Shadow,俺だけレベルアップな件 Season 2 -Arise from the Shadow-,8.57,477263,747138,2025,Action|Adventure|Fantasy,https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow
121,Shingeki no Kyojin,進撃の巨人,8.57,3038217,4315497,2013,Action|Award Winning|Drama|Suspense,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
119,Nana,NANA [ナナ],8.57,298970,771864,2006,Drama|Romance,https://myanimelist.net/anime/877/Nana
125,Natsume Yuujinchou Go,夏目友人帳 伍,8.56,83225,204608,2016,Slice of Life|Supernatural,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
126,Natsume Yuujinchou San,夏目友人帳 参,8.56,126441,271066,2011,Slice of Life|Supernatural,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
128,Haikyuu!! To the Top Part 2,ハイキュー TO THE TOP 第2クール,8.56,548281,918172,2020,Sports,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
135,Kaoru Hana wa Rin to Saku,薫る花は凛と咲く,8.55,199621,419033,2025,Drama|Romance,https://myanimelist.net/anime/59845/Kaoru_Hana_wa_Rin_to_Saku
132,Steins;Gate 0,シュタインズ・ゲート ゼロ,8.55,469862,947302,2018,Drama|Sci-Fi|Suspense,https://myanimelist.net/anime/30484/Steins_Gate_0
133,Yojouhan Shinwa Taikei,四畳半神話大系,8.55,155923,491160,2010,Award Winning|Comedy|Mystery|Romance|Suspense,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
144,[Oshi no Ko],【推しの子】,8.54,607060,1026747,2023,Award Winning|Drama,https://myanimelist.net/anime/52034/Oshi_no_Ko
139,Chiikawa,ちいかわ,8.54,5420,18198,2022,Slice of Life,https://myanimelist.net/anime/50250/Chiikawa
143,Shouwa Genroku Rakugo Shinjuu,昭和元禄落語心中,8.54,99298,312696,2016,Drama,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
142,Shingeki no Kyojin Season 2,進撃の巨人 Season2,8.54,2045132,2989030,2017,Action|Drama|Suspense,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
140,Fate/Zero 2nd Season,フェイト/ゼロ 2ndシーズン,8.54,752725,1188415,2012,Action|Fantasy,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
145,Zoku Natsume Yuujinchou,続 夏目友人帳,8.53,133784,265495,2009,Slice of Life|Supernatural,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
147,Fruits Basket 2nd Season,フルーツバスケット 2nd season,8.53,299830,578645,2020,Drama|Romance|Supernatural,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
149,Dr. Stone: Science Future Part 2,Dr.STONE SCIENCE FUTURE 第2クール,8.52,101822,207258,2025,Adventure|Comedy,https://myanimelist.net/anime/61322/Dr_Stone__Science_Future_Part_2
152,[Oshi no Ko] 2nd Season,【推しの子】第2期,8.52,246525,501007,2024,Drama,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season
148,Bakuman. 3rd Season,バクマン。,8.52,202931,346813,2012,Comedy|Drama|Romance,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
151,Samurai Champloo,サムライチャンプルー,8.52,682091,1340629,2004,Action|Adventure|Comedy,https://myanimelist.net/anime/205/Samurai_Champloo
158,Fate/strange Fake,Fate/strange Fake,8.51,17816,136626,2026,Action|Fantasy,https://myanimelist.net/anime/55830/Fate_strange_Fake
159,Gintama. Porori-hen,銀魂。ポロリ編,8.51,111950,220684,2017,Action|Comedy|Sci-Fi,https://myanimelist.net/anime/35843/Gintama_Porori-hen
156,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,8.51,108957,240840,2004,Mystery|Sci-Fi,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
